seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr3,50252390,50448998,train,NPRL2,50350694,397.0,3842.0
chr2,74555923,74752531,train,SEMA4F,74654227,179760.0,5889.0
chr3,5023915,5220523,train,ARL8B,5122219,66079.0,143104.0
chr16,68537884,68734492,train,CDH3,68636188,101036.0,106099.0
chr16,19312191,19508799,train,TMC5,19410495,111650.0,124757.0
chr17,28645679,28842287,train,TRAF4,28743983,98856.0,16048.0
chr6,80008342,80204950,train,BCKDHB,80106646,1646128.0,102760.0
chr1,226088426,226285034,train,ACBD3,226186730,36887.0,124854.0
chr11,8584106,8780714,train,RPL27A,8682410,228541.0,10544.0
chr2,170830159,171026767,train,GORASP2,170928463,302851.0,115251.0
chr16,2784881,2981489,train,FLYWCH2,2883185,28751.0,25015.0
chr3,31434333,31630941,train,STT3B,31532637,449133.0,637872.0
chr6,153032945,153229553,valid,RGS17,153131249,879246.0,128564.0
chr4,128190525,128387133,train,PGRMC2,128288829,520793.0,227562.0
chr8,144255845,144452453,train,SLC52A2,144354149,765.0,17868.0
chr16,3184638,3381246,train,ZNF263,3282942,22787.0,26315.0
chr3,32140374,32336982,train,CMTM8,32238678,152992.0,132990.0
chr12,53247011,53443619,train,SP7,53345315,34860.0,20451.0
chr15,42261195,42457803,train,CAPN3,42359499,131624.0,86267.0
chr3,140843525,141040133,train,SLC25A36,140941829,109572.0,263791.0
chr11,77896374,78092982,train,INTS4,77994678,51513.0,173570.0
chr17,42360539,42557147,train,ATP6V0A1,42458843,77328.0,35326.0
chr13,78505256,78701864,train,POU4F1,78603560,55619.0,683872.0
chr2,201545266,201741874,valid,TMEM237,201643570,55124.0,24392.0
chr1,186730648,186927256,train,PLA2G4A,186828952,3649452.0,148525.0
chr4,185437308,185633916,train,PDLIM3,185535612,421040.0,64508.0
chr1,62499182,62695790,train,ANGPTL3,62597486,90882.0,161190.0
chr20,23652964,23849572,train,CST1,23751268,75463.0,62228.0
chr1,147144746,147341354,train,FMO5,147243050,298361.0,410.0
chr5,140248327,140444935,train,HBEGF,140346631,13570.0,43510.0
chr17,40078705,40275313,train,RAPGEFL1,40177009,42294.0,36687.0
chr11,111441975,111638583,train,LAYN,111540279,62111.0,24769.0
chr17,58319291,58515899,train,RNF43,58417595,70789.0,65934.0
chr9,133538055,133734663,train,DBH,133636359,103596.0,50162.0
chrX,64936409,65133017,valid,ZC4H2,65034713,454021.0,639282.0
chr2,224303781,224500389,valid,FAM124B,224402085,183312.0,362766.0
chr1,97822745,98019353,train,DPYD,97921049,740651.0,1199385.0
chr3,57446040,57642648,train,DNAH12,57544344,11931.0,251662.0
chr20,577875,774483,valid,SCRT2,676179,99836.0,22809.0
chr5,39272986,39469594,train,C9,39371290,91010.0,96762.0
chr11,128793051,128989659,train,KCNJ5,128891355,14680.0,23982.0
chr3,51401698,51598306,train,DCAF1,51500002,41577.0,108735.0
chr12,123663883,123860491,train,DNAH10,123762187,172797.0,49870.0
chr17,40901590,41098198,train,KRTAP3-2,40999894,19430.0,5761.0
chr20,45208546,45405154,valid,RBPJL,45306850,1679.0,52286.0
chr5,177302332,177498940,train,PFN3,177400636,2567.0,21402.0
chr11,22762122,22958730,train,CCDC179,22860426,1636543.0,30127.0
chr3,139382443,139579051,train,RBP2,139480747,59082.0,91015.0
chr12,70267971,70464579,train,KCNMB4,70366275,271165.0,123282.0
chr2,97565803,97762411,train,ACTR1B,97664107,109.0,18068.0
chr11,18223990,18420598,train,GTF2H1,18322294,72093.0,96.0
chr20,33565227,33761835,valid,C20orf144,33663531,2966.0,173457.0
chr19,54626174,54822782,test,KIR3DL3,54724478,14036.0,80590.0
chr7,156851418,157048026,train,NOM1,156949722,60929.0,56492.0
chr2,156336985,156533593,train,GPD2,156435289,822308.0,92941.0
chr5,112824235,113020843,train,REEP5,112922539,54162.0,31118.0
chr1,145859697,146056305,train,LIX1L,145958001,6581.0,30938.0
chr12,12792477,12989085,train,GPRC5A,12890781,61366.0,70505.0
chr19,2193720,2390328,train,LINGO3,2292024,36590.0,9848.0
chr19,54495277,54691885,test,LILRA1,54593581,23576.0,20662.0
chr19,38158287,38354895,test,PPP1R14A,38256591,47569.0,12557.0
chr20,41038655,41235263,valid,PLCG1,41136959,180713.0,108142.0
chr11,66958513,67155121,train,RHOD,67056817,62451.0,50040.0
chr15,65113184,65309792,train,CILP,65211488,89130.0,26146.0
chr12,56059856,56256464,train,MYL6,56158160,31407.0,5905.0
chr22,46169656,46366264,train,TTC38,46267960,28780.0,4605.0
chr3,37889754,38086362,train,VILL,37988058,41704.0,126099.0
chr9,21342149,21538757,train,IFNA1,21440453,41860.0,31307.0
chr20,59835351,60031959,valid,SYCP2,59933655,108.0,356147.0
chr1,161116929,161313537,train,FCER1G,161215233,8398.0,16177.0
chr11,22094871,22291479,train,ANO5,22193175,145070.0,1523625.0
chrX,91336290,91532898,valid,PABPC5,91434594,2238974.0,1512713.0
chr1,53955200,54151808,train,TMEM59,54053504,82.0,35318.0
chr11,58325009,58521617,train,OR5B2,58423313,16860.0,19904.0
chr1,159801859,159998467,train,CFAP45,159900163,25569.0,37506.0
chr16,28113616,28310224,train,XPO6,28211920,80598.0,148411.0
chr11,67370964,67567572,train,TMEM134,67469268,13772.0,16539.0
chr1,201857186,202053794,train,TIMM17A,201955490,26881.0,8902.0
chr12,109782184,109978792,train,GLTP,109880488,19785.0,47753.0
chr3,48821081,49017689,train,ARIH2OS,48919385,2094.0,20392.0
chr8,142919677,143116285,train,LY6E,143017981,62475.0,100138.0
chr9,122937361,123133969,train,GPR21,123035665,232911.0,94833.0
chr19,54518853,54715461,test,LILRB1,54617157,26731.0,23576.0
chr12,2792582,2989190,train,TULP3,2890886,68443.0,13731.0
chr3,48996059,49192667,train,QRICH1,49094363,10772.0,65048.0
chr12,55394073,55590681,train,OR6C68,55492377,58821.0,22239.0
chr21,20900010,21096618,train,NCAM2,20998314,4609203.0,2512435.0
chr14,24107415,24304023,test,TSSK4,24205719,8150.0,10032.0
chr11,57614019,57810627,train,MED19,57712323,276.0,44577.0
chr1,51478874,51675482,train,OSBPL9,51577178,301759.0,57850.0
chr3,9835517,10032125,train,CRELD1,9933821,18573.0,16748.0
chr2,190436418,190633026,valid,NEMP2,190534722,112023.0,126368.0
chrX,153732261,153928869,valid,PDZD4,153830565,55608.0,37050.0
chr20,56530997,56727605,valid,TFAP2C,56629301,637328.0,96056.0
chr4,165229318,165425926,train,MSMO1,165327622,33571.0,47943.0
chr2,46444253,46640861,train,ATP6V1E2,46542557,170.0,113368.0
chr6,108067550,108264158,train,OSTM1,108165854,203.0,208514.0
chr1,75698577,75895185,train,MSH4,75796881,135550.0,10183.0
chr5,134640196,134836804,train,CAMLG,134738500,20270.0,77382.0
chr17,35782489,35979097,train,CCL5,35880793,49980.0,11902.0
chr10,73070751,73267359,train,ECD,73169055,79787.0,890.0
chr9,1881985,2078593,train,SMARCA2,1980289,641544.0,930432.0
chr16,30688898,30885506,train,ZNF629,30787202,107345.0,24085.0
chr19,18965694,19162302,train,SLC25A42,19063998,74515.0,29975.0
chr10,89109010,89305618,train,CH25H,89207314,76379.0,216355.0
chr11,105924099,106120707,train,MSANTD4,106022403,53097.0,412410.0
chr2,120125104,120321712,train,TMEM185B,120223408,16655.0,210404.0
chr11,68915105,69111713,train,MRGPRF,69013409,35487.0,32423.0
chr11,18357519,18554127,train,LDHAL6A,18455823,71409.0,43517.0
chr22,42622994,42819602,train,A4GALT,42721298,136808.0,71730.0
chr11,85549662,85746270,train,TMEM126A,85647966,34942.0,19394.0
chr10,21426370,21622978,train,MLLT10,21524674,1694.0,27412.0
chr1,25331888,25528496,train,RHCE,25430192,665.0,91979.0
chr9,105146317,105342925,train,SLC44A1,105244621,203174.0,316384.0
chr4,174731363,174927971,train,ADAM29,174829667,1172997.0,353.0
chr17,44169837,44366445,train,SLC4A1,44268141,40417.0,46515.0
chr17,75417755,75614363,train,TSEN54,75516059,9020.0,476.0
chr5,115082242,115278850,train,TRIM36,115180546,72709.0,819602.0
chr12,113327997,113524605,train,SDS,113426301,45979.0,4065.0
chr11,77203345,77399953,train,GDPD4,77301649,154288.0,173386.0
chr4,109605279,109801887,train,CASP6,109703583,26494.0,143379.0
chr8,53924225,54120833,train,TCEA1,54022529,79488.0,170722.0
chr17,81878502,82075110,train,ASPSCR1,81976806,46112.0,14966.0
chr19,41344853,41541461,test,ERICH4,41443157,106360.0,2440.0
chr7,5327110,5523718,valid,TNRC18,5425414,88384.0,151046.0
chr21,30443560,30640168,train,KRTAP19-6,30541864,19450.0,39747.0
chr10,116175163,116371771,train,GFRA1,116273467,50960.0,1180103.0
chr19,40784448,40981056,test,CYP2A7,40882752,108546.0,32305.0
chrX,136933370,137129978,test,GPR101,137031674,534467.0,150910.0
chr10,11970667,12167275,train,DHTKD1,12068971,60665.0,25801.0
chr10,103819901,104016509,train,STN1,103918205,48995.0,62662.0
chr18,63545994,63742602,valid,SERPINB4,63644298,3280.0,57310.0
chr19,46536381,46732989,test,GNG8,46634685,26453.0,9567.0
chr21,30544559,30741167,train,KRTAP20-3,30642863,75914.0,7628.0
chr1,178401330,178597938,train,CLEC20A,178499634,13442.0,405494.0
chr3,100611026,100807634,train,TFG,100709330,284185.0,99742.0
chr17,28908136,29104744,train,SEZ6,29006440,72417.0,54669.0
chr9,20560004,20756612,train,FOCAD,20658308,373328.0,35765.0
chr15,78467215,78663823,train,CHRNA5,78565519,55776.0,25115.0
chr11,5802472,5999080,train,OR52E5,5900776,37843.0,16506.0
chr15,89236557,89433165,train,POLG,89334861,161752.0,90913.0
chr19,54671506,54868114,test,KIR2DL1,54769810,33724.0,31296.0
chr10,125724944,125921552,train,UROS,125823248,297.0,47427.0
chr15,40062718,40259326,train,BUB1B,40161022,77736.0,52130.0
chr3,15423447,15620055,train,COLQ,15521751,79443.0,94397.0
chr2,144426279,144622887,train,ZEB2,144524583,3319933.0,192015.0
chr3,42390994,42587602,train,VIPR1,42489298,92541.0,78698.0
chr3,123893874,124090482,train,ROPN1,123992178,87844.0,30770.0
chr17,48846813,49043421,train,SNF8,48945117,23479.0,36749.0
chrX,65436471,65633079,valid,LAS1L,65534775,53601.0,46041.0
chr4,44580122,44776730,train,YIPF7,44678426,130.0,229619.0
chr17,73094327,73290935,train,COG1,73192631,39601.0,27620.0
chr17,81848833,82045441,train,MYADML2,81947137,14703.0,4725.0
chr9,21207008,21403616,train,IFNA5,21305312,30068.0,65321.0
chr16,80978963,81175571,train,C16orf46,81077267,19158.0,41421.0
chr1,106958374,107154982,train,PRMT6,107056678,83328.0,3306273.0
chr20,49817204,50013812,valid,SPATA2,49915508,20827.0,102796.0
chr20,51704216,51900824,valid,SALL4,51802520,401788.0,33886.0
chr1,31141250,31337858,train,NKAIN1,31239554,57228.0,173563.0
chr16,1728890,1925498,train,FAHD1,1827194,44984.0,254.0
chr19,578060,774668,train,FSTL3,676364,19134.0,13087.0
chrX,48098459,48295067,test,SSX5,48196763,159944.0,66107.0
chr12,16179381,16375989,train,SLC15A5,16277685,69456.0,366514.0
chr2,26460394,26657002,train,OTOF,26558698,3883.0,156783.0
chrX,85010744,85207352,valid,SATL1,85109048,134983.0,105223.0
chr2,86763620,86960228,train,CD8B,86861924,46028.0,53528.0
chr17,44801358,44997966,train,EFTUD2,44899662,2655.0,53310.0
chr16,4017881,4214489,train,ADCY9,4116185,125895.0,235459.0
chr11,67407959,67604567,train,PITPNM1,67506263,2368.0,23223.0
chrX,7743957,7940565,test,VCX,7842261,85478.0,622806.0
chr21,33444588,33641196,train,SON,33542892,599.0,51172.0
chr8,49811484,50008092,train,SNTG1,49909788,1899657.0,988048.0
chr4,68470223,68666831,train,UGT2B17,68568527,102101.0,121079.0
chr4,17413930,17610538,train,QDPR,17512234,2930.0,613425.0
chr2,171824143,172020751,train,HAT1,171922447,68995.0,235039.0
chr1,9898901,10095509,train,RBP7,9997205,35626.0,53778.0
chr16,56559389,56755997,train,MT1F,56657693,10372.0,5795.0
chr20,47258585,47455193,valid,ZMYND8,47356889,145012.0,462266.0
chr22,35442563,35639171,train,RASD2,35540867,97084.0,140805.0
chr6,127420887,127617495,train,SOGA3,127519191,263.0,59800.0
chr1,200571665,200768273,train,DDX59,200669969,69588.0,49235.0
chr5,170291373,170487981,train,KCNMB1,170389677,373672.0,36191.0
chr3,12189063,12385671,train,PPARG,12287367,197064.0,128016.0
chr1,35771503,35968111,train,AGO1,35869807,60910.0,61636.0
chr20,20269816,20466424,train,INSM1,20368120,344368.0,311503.0
chr17,28744535,28941143,train,FAM222B,28842839,12098.0,98856.0
chr4,2865303,3061911,train,GRK4,2963607,111073.0,222.0
chr9,94495489,94692097,train,FBP2,94593793,46456.0,219243.0
chr12,10840959,11037567,valid,TAS2R14,10939263,153050.0,10028.0
chr6,31717159,31913767,train,HSPA1A,31815463,12271.0,398.0
chr1,154885033,155081641,train,FLAD1,154983337,10248.0,8685.0
chr22,38978700,39175308,train,APOBEC3G,39077004,20219.0,36401.0
chr12,57033835,57230443,train,STAT6,57132139,84655.0,3647.0
chr11,6747347,6943955,train,OR10A5,6845651,24041.0,49868.0
chr1,31666589,31863197,train,ADGRB2,31764893,51158.0,60574.0
chr20,5512722,5709330,train,GPCPD1,5611026,139366.0,296657.0
chr20,64157390,64353998,valid,PCMTD2,64255694,inf,103904.0
chr19,10738270,10934878,test,C19orf38,10836574,34938.0,256.0
chr6,113913004,114109612,train,HDAC2,114011308,331737.0,153947.0
chr17,32251719,32448327,train,C17orf75,32350023,179.0,83848.0
chr1,11708616,11905224,train,MTHFR,11806920,210.0,45134.0
chr9,74399060,74595668,train,RORB,74497364,390730.0,1345608.0
chr8,81744562,81941170,train,SNX16,81842866,2339920.0,109985.0
chr4,167994210,168190818,train,ANXA10,168092514,226293.0,857718.0
chr6,34659101,34855709,train,SNRPC,34757405,34609.0,60546.0
chr19,12847550,13044158,train,RAD23A,12945854,11382.0,7248.0
chr19,49355193,49551801,train,PIH1D1,49453497,20709.0,329.0
chr19,42642265,42838873,test,PSG3,42740569,25110.0,145514.0
chr22,45955840,46152448,train,PRR34,46054144,96376.0,77015.0
chrX,141486707,141683315,test,SPANXA1,141585011,4423.0,342515.0
chr5,146349007,146545615,train,TCERG1,146447311,68879.0,108288.0
chr1,169362365,169558973,train,CCDC181,169460669,25334.0,92700.0
chr7,24883330,25079938,train,OSBPL3,24981634,143727.0,223521.0
chr1,15486806,15683414,train,AGMAT,15585110,32389.0,58298.0
chr1,86606265,86802873,train,SH3GLB1,86704569,209855.0,157492.0
chr2,120637318,120833926,train,GLI2,120735622,549585.0,389480.0
chr2,174150394,174347002,train,OLA1,174248698,88868.0,282996.0
chr1,153869408,154066016,train,CREB3L4,153967712,9976.0,179.0
chr17,47843201,48039809,train,PNPO,47941505,16373.0,45356.0
chr10,50526646,50723254,train,SGMS1,50624950,114367.0,376340.0
chr13,113007483,113204091,train,F7,113105787,17026.0,211410.0
chr4,88133018,88329626,train,ABCG2,88231322,53447.0,223655.0
chr22,23670139,23866747,train,CHCHD10,23768443,199.0,5390.0
chr6,108162956,108359564,train,SNX3,108261260,33633.0,95203.0
chr12,131612784,131809392,train,SFSWAP,131711088,117304.0,757182.0
chr12,121574327,121770935,train,MORN3,121672631,40120.0,46082.0
chr12,66705882,66902490,train,GRIP1,66804186,465094.0,501642.0
chrX,103231891,103428499,valid,TCEAL7,103330195,26256.0,19149.0
chr6,40974640,41171248,train,NFYA,41072944,2754.0,19641.0
chr11,14874050,15070658,train,CALCA,14972354,140069.0,67358.0
chr7,73929484,74126092,train,ELN,74027788,55144.0,166630.0
chr3,3081423,3278031,train,CRBN,3179727,619709.0,52812.0
chr3,133831508,134028116,train,C3orf36,133929812,122372.0,33976.0
chr15,77722596,77919204,train,LINGO1,77820900,256824.0,400489.0
chr19,38328001,38524609,test,RASGRP4,38426305,7393.0,23171.0
chr10,26599354,26795962,train,PDSS1,26697658,163429.0,259456.0
chr19,34865745,35062353,test,ZNF792,34964049,30734.0,37147.0
chr22,22546170,22742778,train,GGTLC2,22644474,425886.0,399800.0
chr4,69116168,69312776,train,UGT2B11,69214472,66026.0,163110.0
chr2,171335805,171532413,train,METTL8,171434109,107.0,202795.0
chr12,6276920,6473528,train,LTBR,6375224,2506.0,33110.0
chr1,156114688,156311296,train,PMF1,156212992,28969.0,19061.0
chr1,116656080,116852688,train,CD2,116754384,155672.0,86629.0
chr13,113265844,113462452,train,GRTP1,113364148,89376.0,66908.0
chr15,48107996,48304604,train,SLC12A1,48206300,124763.0,14762.0
chr6,42817684,43014292,train,PTCRA,42915988,13203.0,25172.0
chr8,41953686,42150294,train,KAT6A,42051990,100955.0,155228.0
chr19,49543820,49740428,train,SCAF1,49642124,23017.0,1923.0
chrX,125221815,125418423,test,TEX13C,125320119,845978.0,356302.0
chr1,89534767,89731375,train,LRRC8C,89633071,187942.0,108236.0
chr11,18074532,18271140,train,MRGPRX4,18172836,64057.0,51882.0
chr11,117101016,117297624,train,TAGLN,117199320,33205.0,20588.0
chrX,56630936,56827544,valid,NBDY,56729240,392306.0,165602.0
chr18,34878623,35075231,train,MAPRE2,34976927,264108.0,483638.0
chr10,119498725,119695333,train,TIAL1,119597029,54340.0,54321.0
chr10,100169376,100365984,train,CWF19L1,100267680,19032.0,38061.0
chr8,38126913,38323521,train,DDHD2,38225217,44026.0,48487.0
chr20,1895981,2092589,train,PDYN,1994285,107325.0,99911.0
chr2,70802285,70998893,train,VAX2,70900589,35292.0,64767.0
chr20,17595367,17791975,train,BANF2,17693671,275241.0,11376.0
chr1,30625283,30821891,train,MATN1,30723587,34233.0,1487072.0
chr19,44847677,45044285,test,APOC2,44945981,8609.0,3744.0
chr2,46330885,46527493,train,TMEM247,46429189,113368.0,135523.0
chr19,50763263,50959871,train,KLK2,50861567,49171.0,6653.0
chr7,101154012,101350620,train,FIS1,101252316,69507.0,13496.0
chr8,71263928,71460536,train,EYA1,71362232,482236.0,692868.0
chr9,74990238,75186846,train,OSTF1,75088542,802101.0,325.0
chr16,31373804,31570412,train,TGFB1I1,31472108,10893.0,12372.0
chr6,44029153,44225761,train,MRPL14,44127457,31353.0,544.0
chr8,98196089,98392697,train,NIPAL2,98294393,132628.0,177097.0
chr3,126419469,126616077,train,UROC1,126517773,6509.0,41854.0
chr2,215337868,215534476,valid,FN1,215436172,597924.0,124356.0
chr15,78147384,78343992,train,ACSBG1,78245688,18468.0,114144.0
chr8,42599071,42795679,train,CHRNB3,42697375,99017.0,155664.0
chr2,233256202,233452810,valid,DGKD,233354506,212276.0,46691.0
chr9,124409126,124605734,train,NR5A1,124507430,263880.0,56006.0
chr8,23430500,23627108,train,SLC25A37,23528804,154123.0,71109.0
chr3,11906097,12102705,train,SYN2,12004401,154950.0,157482.0
chr17,81585021,81781629,train,HGS,81683325,599.0,16692.0
chr5,132928300,133124908,train,ZCCHC10,133026604,25357.0,62970.0
chr6,106877323,107073931,train,CD24,106975627,52585.0,346050.0
chr6,44289220,44485828,train,CDC5L,44387524,940632.0,44865.0
chr12,106676290,106872898,train,RIC8B,106774594,181124.0,191688.0
chr4,154393412,154590020,train,DCHS2,154491716,58719.0,702596.0
chr19,41330426,41527034,test,B3GNT8,41428730,11987.0,31251.0
chr4,24881844,25078452,train,CCDC149,24980148,50731.0,190237.0
chr19,45147127,45343735,test,EXOC3L2,45245431,5826.0,66687.0
chr8,96163410,96360018,train,PTDSS1,96261714,231636.0,104.0
chr10,100248819,100445427,train,SCD,100347123,115917.0,16637.0
chr2,169380873,169577481,train,BBS5,169479177,30524.0,116492.0
chr4,86837898,87034506,train,C4orf36,86936202,304112.0,1201.0
chr22,41142630,41339238,train,CHADL,41240934,45317.0,35730.0
chr12,6845128,7041736,train,C12orf57,6943432,3035.0,18970.0
chr17,64408427,64605035,train,CEP95,64506731,1468.0,9695.0
chr1,6456231,6652839,train,NOL9,6554535,645.0,34474.0
chr19,19570491,19767099,train,ZNF101,19668795,64302.0,5102.0
chr19,18514546,18711154,train,TMEM59L,18612850,24114.0,5109.0
chr10,2968028,3164636,train,PFKP,3066332,106509.0,1328856.0
chr17,78881805,79078413,train,LGALS3BP,78980109,29758.0,54722.0
chr1,165347051,165543659,train,RXRG,165445355,98651.0,88640.0
chr20,44647475,44844083,valid,KCNK15,44745779,64559.0,30936.0
chr10,103757239,103953847,train,SH3PXD2A,103855543,62662.0,361565.0
chr6,27814092,28010700,train,OR2B2,27912396,44844.0,18934.0
chr1,58245099,58441707,train,DAB1,58343403,203399.0,1377263.0
chr13,45517435,45714043,train,ERICH6B,45615739,86571.0,150842.0
chr19,5469730,5666338,train,TINCR,5568034,55000.0,112604.0
chr7,144170984,144367592,train,CTAGE8,144269288,48836.0,9566.0
chr19,48548008,48744616,train,CA11,48646312,26769.0,8874.0
chr5,149259702,149456310,train,PCYOX1L,149358006,46196.0,12577.0
chrX,136433847,136630455,test,VGLL1,136532151,116041.0,35073.0
chr2,3419443,3616051,train,ADI1,3517747,40744.0,138073.0
chr12,52851616,53048224,train,KRT8,52949920,56237.0,1050.0
chr10,35509849,35706457,train,GJD4,35608153,34125.0,361129.0
chr6,32911308,33107916,train,HLA-DOA,33009612,64160.0,40518.0
chr22,42421498,42618106,train,RRP7A,42519802,33814.0,87407.0
chr14,24535963,24732571,test,GZMB,24634267,416030.0,24568.0
chr11,5743648,5940256,train,OR52E6,5841952,15782.0,21639.0
chr3,190224236,190420844,test,CLDN16,190322540,127336.0,65.0
chr19,43617705,43814313,test,IRGC,43716009,38981.0,45462.0
chr6,46856639,47053247,train,ADGRF5,46954943,87420.0,161554.0
chr17,76142069,76338677,train,RNF157,76240373,24828.0,99074.0
chr9,125143026,125339634,train,HSPA5,125241330,20463.0,40789.0
chr17,75980877,76177485,train,ZACN,76079181,42395.0,4388.0
chr16,88583410,88780018,train,SNAI3,88681714,24707.0,18553.0
chr12,51924527,52121135,train,NR4A1,52022831,46414.0,15892.0
chr12,10994009,11190617,test,TAS2R43,11092313,28867.0,153050.0
chr4,70493951,70690559,train,AMBN,70592255,36488.0,73716.0
chr3,56370059,56566667,train,ERC2,56468363,88797.0,977824.0
chr17,19117310,19313918,train,EPN2,19215614,162106.0,88146.0
chr11,126257335,126453943,train,ST3GAL4,126355639,645526.0,51888.0
chr1,77947597,78144205,train,GIPC2,78045901,257982.0,66727.0
chr6,149467989,149664597,train,GINM1,149566293,82679.0,20255.0
chr16,21061137,21257745,train,DNAH3,21159441,55069.0,1065.0
chr1,21903351,22099959,train,CELA3A,22001655,50971.0,24635.0
chr16,28838207,29034815,train,RABEP2,28936511,14295.0,4573.0
chr9,133065641,133262249,train,GBGT1,133163945,45305.0,14611.0
chr4,68349144,68545752,train,TMPRSS11E,68447448,121079.0,97359.0
chr6,151353877,151550485,valid,RMND1,151452181,76.0,60633.0
chr11,64207267,64403875,train,ESRRA,64305571,12513.0,5181.0
chr19,43107470,43304078,test,PSG4,43205774,63756.0,19238.0
chr17,56815734,57012342,train,TRIM25,56914038,47016.0,75265.0
chr18,2748725,2945333,train,EMILIN2,2847029,166286.0,191292.0
chr14,93928024,94124632,test,OTUB2,94026328,54917.0,39104.0
chr18,26767467,26964075,train,AQP4,26865771,319546.0,208370.0
chr11,119630780,119827388,train,NECTIN1,119729084,456445.0,304099.0
chr10,84127285,84323893,train,LRIT2,84225589,15872.0,30955.0
chr5,1347126,1543734,train,SLC6A3,1445430,78547.0,100331.0
chr17,75881059,76077667,train,TEN1,75979363,21542.0,144.0
chr7,107704921,107901529,train,SLC26A3,107803225,87744.0,59529.0
chr17,6982003,7178611,train,CLEC10A,7080307,35393.0,36384.0
chr2,203140635,203337243,valid,CYP20A1,203238939,89279.0,224061.0
chr1,197804342,198000950,train,C1orf53,197902646,9255.0,126950.0
chr20,44712034,44908642,valid,RIMS4,44810338,75337.0,64559.0
chr17,40888831,41085439,train,KRT40,40987135,6998.0,20243.0
chr5,95548449,95745057,train,RFESD,95646753,51958.0,26676.0
chr6,34057318,34253926,train,GRM4,34155622,81250.0,351611.0
chr14,24477956,24674564,test,CTSG,24576260,33439.0,68754.0
chr22,26071169,26267777,train,SEZ6L,26169473,259799.0,427330.0
chr12,101598642,101795250,train,CHPT1,101696946,42523.0,128594.0
chr17,74614674,74811282,train,CD300LF,74712978,35934.0,42401.0
chr21,17514643,17711251,train,BTG3,17612947,206439.0,100566.0
chr12,123572808,123769416,train,TCTN2,123671112,41205.0,37346.0
chr19,54474615,54671223,test,LILRA2,54572919,20662.0,40228.0
chr17,78804911,79001519,train,CEP295NL,78903215,22172.0,61774.0
chr9,5352198,5548806,train,CD274,5450502,60067.0,12624.0
chr10,46813091,47009699,train,PTPN20,46911395,388990.0,535769.0
chr17,9723767,9920375,train,GSG1L2,9822071,134.0,30774.0
chr17,48005052,48201660,train,SNX11,48103356,326919.0,1835.0
chr5,146105295,146301903,train,RBM27,146203599,135424.0,20939.0
chr17,46880944,47077552,train,RPRML,46979248,210174.0,56174.0
chr4,109729689,109926297,train,RRH,109827993,20208.0,12484.0
chr20,32011201,32207809,valid,TM9SF4,32109505,98286.0,57318.0
chr3,191362858,191559466,test,PYDC2,191461162,1306602.0,130626.0
chr20,63598363,63794971,valid,TNFRSF6B,63696667,11358.0,38858.0
chr17,4833992,5030600,train,GP1BA,4932296,7711.0,29222.0
chr15,56366833,56563441,train,MNS1,56465137,453434.0,221129.0
chr17,74763200,74959808,train,GRIN2C,74861504,11527.0,85022.0
chr14,69476533,69673141,test,CCDC177,69574837,36758.0,90084.0
chr19,42227304,42423912,test,MEGF8,42325608,64679.0,12273.0
chr7,45790052,45986660,train,IGFBP1,45888356,33518.0,15274.0
chr17,11899206,12095814,train,ZNF18,11997510,23313.0,399080.0
