seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr5,120365973,120562581,train,PRR16,120464277,1387677.0,834719.0
chr9,4886085,5082693,train,JAK2,4984389,201279.0,191521.0
chr7,44392576,44589184,train,NUDCD3,44490880,50435.0,156303.0
chr16,3137917,3334525,train,ZNF200,3236221,20406.0,31975.0
chr11,64153218,64349826,train,PLCB3,64251522,18815.0,4584.0
chrX,150800512,150997120,valid,CD99L2,150898816,81692.0,205846.0
chr11,57292353,57488961,train,PRG2,57390657,36923.0,9507.0
chr18,12602809,12799417,train,CEP76,12701113,228530.0,42979.0
chr17,7330598,7527206,train,RP11-104H15.12,7428902,6540.0,3288.0
chr14,87906819,88103427,test,GPR65,88005123,321784.0,11458.0
chr5,178106202,178302810,train,HNRNPAB,178204506,28284.0,50539.0
chr12,21947869,22144477,train,CMAS,22046173,390868.0,103644.0
chr8,53924225,54120833,train,TCEA1,54022529,79488.0,170722.0
chr18,21513962,21710570,train,SNRPD1,21612266,92539.0,11382.0
chr3,121651463,121848071,train,GOLGB1,121749767,85312.0,88840.0
chr22,30323467,30520075,train,RNF215,30421771,3758.0,24915.0
chrX,72178996,72375604,valid,RPS4X,72277300,29887.0,38253.0
chr12,92623157,92819765,train,PLEKHG7,92721461,207870.0,18619.0
chrX,135615148,135811756,test,CT45A1,135713452,54739.0,192778.0
chr20,56426181,56622789,valid,FAM209A,56524485,1318.0,55901.0
chr22,23047021,23243629,train,RAB36,23145325,34378.0,304.0
chr1,196510921,196707529,train,KCNT2,196609225,42652.0,3422571.0
chr12,54886442,55083050,train,TESPA1,54984746,35198.0,154228.0
chr7,100987134,101183742,train,TRIM56,101085438,41650.0,65367.0
chr1,228359802,228556410,train,HIST3H2BB,228458106,276970.0,233.0
chr15,90619022,90815630,train,BLM,90717326,151265.0,187402.0
chr2,117915829,118112437,train,CCDC93,118014133,74318.0,199484.0
chr22,37329166,37525774,train,ELFN2,37427470,58931.0,145444.0
chr18,59175782,59372390,train,RAX,59274086,44563.0,53919.0
chr20,57231454,57428062,valid,SPO11,57329758,21251.0,63129.0
chr17,8278407,8475015,train,KRBA2,8376711,6502.0,36848.0
chr13,48555406,48752014,train,CYSLTR2,48653710,322270.0,120454.0
chr3,39010059,39206667,train,GORASP1,39108363,721.0,56366.0
chrX,18573805,18770413,valid,RS1,18672109,3799.0,246527.0
chr22,30373745,30570353,train,SEC14L3,30472049,33662.0,46520.0
chr2,69546120,69742728,train,ANXA4,69644424,29925.0,206796.0
chr5,61233968,61430576,train,ZSWIM6,61332272,973889.0,171045.0
chr5,56873371,57069979,train,MIER3,56971675,202272.0,62416.0
chr15,65419400,65616008,train,DPP8,65517704,12713.0,94632.0
chr7,144011209,144207817,train,OR2A2,144109513,19544.0,14466.0
chr16,46875484,47072092,train,DNAJA2,46973788,170209.0,89411.0
chr11,63045917,63242525,train,SLC22A24,63144221,85431.0,6355.0
chr15,84560259,84756867,train,NMB,84658563,58153.0,4220.0
chr17,15601272,15797880,train,ZNF286A,15699576,32670.0,15265.0
chr20,37163531,37360139,valid,GHRH,37261835,27802.0,82247.0
chr7,66016299,66212907,train,CRCP,66114603,90595.0,38806.0
chr15,74104575,74301183,train,CCDC33,74202879,9266.0,29209.0
chr17,60294124,60490732,train,C17orf64,60392428,30042.0,242493.0
chrX,48098459,48295067,test,SSX5,48196763,159944.0,66107.0
chr3,63925706,64122314,train,PSMD6,64024010,421466.0,159454.0
chr3,129430335,129626943,train,RHO,129528639,14574.0,88460.0
chr19,41330426,41527034,test,B3GNT8,41428730,11987.0,31251.0
chr19,48371389,48567997,train,CYTH2,48469693,43496.0,8445.0
chr19,51547241,51743849,train,SIGLEC5,51645545,1256.0,74248.0
chr1,107041702,107238310,train,NTNG1,107140006,825138.0,83328.0
chr16,10846183,11042791,train,CLEC16A,10944487,305161.0,10585.0
chr5,2653358,2849966,train,IRX2,2751662,468.0,864426.0
chrX,30211294,30407902,valid,NR0B1,30309598,268246.0,63310.0
chr9,96915296,97111904,train,MFSD14C,97013600,26043.0,85291.0
chr11,59416608,59613216,train,OR4D9,59514912,101232.0,11337.0
chr12,53226560,53423168,train,AAAS,53324864,20451.0,25179.0
chr9,6230070,6426678,train,TPD52L3,6328374,84776.0,112589.0
chr19,40291883,40488491,test,HIPK4,40390187,23179.0,41660.0
chr11,102628746,102825354,train,MMP8,102727050,53578.0,21244.0
chr1,26689167,26885775,train,PIGV,26787471,39238.0,91440.0
chr15,80902639,81099247,train,MESDC1,81000943,6089.0,11065.0
chr16,31361432,31558040,train,ARMC5,31459736,12372.0,16576.0
chr15,82550557,82747165,train,CPEB1,82648861,61053.0,108297.0
chr10,73070751,73267359,train,ECD,73169055,79787.0,890.0
chr21,20900010,21096618,train,NCAM2,20998314,4609203.0,2512435.0
chr4,89739956,89936564,train,SNCA,89838260,41271.0,530250.0
chr12,891749,1088357,train,RAD52,990053,555.0,237461.0
chr6,34138568,34335176,train,HMGA1,34236872,12598.0,81250.0
chr10,58414835,58611443,train,BICC1,58513139,663450.0,128118.0
chr5,1788932,1985540,train,IRX4,1887236,864426.0,85837.0
chr1,165445702,165642310,train,LRRC52,165544006,86854.0,98651.0
chr11,62493873,62690481,train,TUT1,62592177,9663.0,18091.0
chr15,34245010,34441618,train,NUTM1,34343314,23964.0,137.0
chr15,62066979,62263587,train,C2CD4B,62165283,225242.0,98307.0
chr18,13628355,13824963,train,FAM210A/RNMT,13726659/13726663,4.0,509162.0
chr20,4022675,4219283,train,SMOX,4120979,128095.0,105397.0
chr19,12598339,12794947,train,FBXW9,12696643,27368.0,8646.0
chr19,12636471,12833079,train,C19orf43,12734775,2363.0,10764.0
chr16,30110767,30307375,train,RP11-347C12.3,30209071,45439.0,9841.0
chr14,24300481,24497089,test,NYNRIN,24398785,31149.0,33113.0
chr20,62610532,62807140,valid,NTSR1,62708836,87616.0,66392.0
chr19,22904872,23101480,test,ZNF728,23003176,113798.0,219069.0
chr4,156873090,157069698,train,PDGFC,156971394,104662.0,1017477.0
chr3,196541381,196737989,test,NRROS,196639685,72608.0,71011.0
chr12,54202897,54399505,train,COPZ1,54301201,63286.0,80.0
chr19,58255195,58451803,train,A1BG,58353499,9349.0,26481.0
chr10,92975170,93171778,train,CYP26A1,93073474,408843.0,12667.0
chr7,2945641,3142249,valid,CARD11,3043945,257502.0,199621.0
chr9,86001869,86198477,train,GOLM1,86100173,159484.0,159028.0
chr1,3801981,3998589,train,C1orf174,3900285,754446.0,43019.0
chr8,41211193,41407801,train,SFRP1,41309497,180898.0,411664.0
chr1,180533699,180730307,train,XPR1,180632003,281150.0,129049.0
chr1,1682153,1878761,train,NADK,1780457,110660.0,34465.0
chr9,96777319,96973927,train,ZNF782,96875623,52686.0,97494.0
chr9,110239580,110436188,train,TXNDC8,110337884,241996.0,81244.0
chrX,13840334,14036942,valid,GPM6B,13938638,91255.0,203894.0
chr1,34694693,34891301,train,GJA4,34792997,66819.0,11809.0
chr2,11367873,11564481,train,E2F6,11466177,16163.0,117847.0
chr10,93932507,94129115,train,PLCE1,94030811,332148.0,136839.0
chr12,103867499,104064107,train,TDG,103965803,98380.0,95.0
chrX,103116787,103313395,valid,BEX4,103215091,40112.0,121966.0
chrX,43556602,43753210,test,MAOA,43654906,227541.0,876659.0
chrX,152635431,152832039,valid,CSAG1/MAGEA12,152733735/152733778,43.0,19150.0
chr13,40963136,41159744,train,WBP4,41061440,71306.0,167.0
chr6,29582806,29779414,train,ZFP57,29681110,41664.0,24130.0
chr7,5872379,6068987,valid,RSPH10B,5970683,38442.0,71950.0
chr21,30648929,30845537,train,KRTAP21-2,30747233,8195.0,28456.0
chr2,129882162,130078770,test,RAB6C,129980466,148756.0,1661889.0
chr9,123257865,123454473,train,CRB2,123356169,573983.0,87593.0
chrX,6436814,6633422,test,VCX3A,6535118,613072.0,306255.0
chr1,223044978,223241586,train,TLR5,223143282,220920.0,271012.0
chr18,27087013,27283621,train,CHST9,27185317,992129.0,319546.0
chr19,39146825,39343433,test,IFNL3,39245129,23384.0,40863.0
chr8,58454619,58651227,train,SDCBP,58552923,106921.0,52687.0
chr10,5791898,5988506,train,FBXO18,5890202,87985.0,296.0
chr14,100627400,100824008,test,DLK1,100725704,159143.0,138291.0
chr18,35247178,35443786,train,ZNF24,35345482,31855.0,55237.0
chr17,75417755,75614363,train,TSEN54,75516059,9020.0,476.0
chr11,58807093,59003701,train,GLYATL1,58905397,180909.0,1182.0
chr7,30380480,30577088,train,NOD1,30478784,26060.0,194478.0
chr1,240513845,240710453,train,GREM2,240612149,745081.0,597802.0
chr6,26266854,26463462,train,BTN3A2,26365158,17937.0,79520.0
chr4,55721514,55918122,train,RP11-345F18.1,55819818,33797.0,183120.0
chr4,55448807,55645415,train,CLOCK,55547111,45101.0,151155.0
chr12,65180338,65376946,train,MSRB3,65278642,545488.0,109072.0
chr3,128055610,128252218,train,RUVBL1,128153914,92921.0,102274.0
chr17,42450909,42647517,train,HSD17B1,42549213,12253.0,13042.0
chr9,133065641,133262249,train,GBGT1,133163945,45305.0,14611.0
chr15,74597988,74794596,train,EDC3,74696292,29318.0,97793.0
chr17,4841703,5038311,train,SLC25A11,4940007,244.0,7711.0
chr9,100479774,100676382,train,MURC,100578078,450630.0,104966.0
chr11,89611994,89808602,train,TRIM77,89710298,320807.0,212111.0
chr20,44257395,44454003,valid,HNF4A,44355699,120186.0,18714.0
chr15,44438752,44635360,train,EIF3J,44537056,126622.0,109823.0
chr2,206667243,206863851,valid,FASTKD2,206765547,174006.0,191.0
chr17,79741125,79937733,train,CBX4,79839429,196419.0,37746.0
chr7,857103,1053711,valid,ADAP1,955407,20192.0,78856.0
chrX,54699936,54896544,valid,ITIH6,54798240,9358.0,268030.0
chr6,99251758,99448366,train,FAXC,99350062,44142.0,402056.0
chr11,64202086,64398694,train,TEX40,64300390,5181.0,9066.0
chr11,75301181,75497789,train,RPS3,75399485,31144.0,47780.0
chrX,116364699,116561307,test,CT83,116463003,1654337.0,26382.0
chr1,100797694,100994302,train,EXTL2,100895998,77.0,176257.0
chr1,152515506,152712114,train,LCE3B,152613810,9293.0,13149.0
chr17,39962911,40159519,train,MED24,40061215,39510.0,2926.0
chr3,55392235,55588843,train,WNT5A,55490539,977824.0,523451.0
chr19,193200,389808,train,PLPP2,291504,53311.0,inf
chr5,81653493,81850101,train,SSBP2,81751797,220227.0,357618.0
chr19,35430047,35626655,test,SBSN,35528351,5060.0,14693.0
chr4,103621512,103818120,train,TACR3,103719816,775085.0,521407.0
chr6,27374814,27571422,train,ZNF184,27473118,334813.0,98504.0
chr11,64492336,64688944,train,SLC22A12,64590640,132548.0,35015.0
chr19,6572284,6768892,train,TNFSF14,6670588,59974.0,66485.0
chr12,40594137,40790745,train,CNTN1,40692441,496006.0,495698.0
chr17,49610710,49807318,train,SLC35B1,49709014,80166.0,30780.0
chr17,40701655,40898263,train,KRT28,40799959,19202.0,17425.0
chr11,93445204,93641812,train,SMCO4,93543508,118130.0,213538.0
chr16,30347877,30544485,train,SEPHS2,30446181,26476.0,21648.0
chr1,6456876,6653484,train,TAS1R1,6555180,24820.0,645.0
chr12,113260261,113456869,train,PLBD2,113358565,928.0,137471.0
chr11,59712568,59909176,train,MRPL16,59810872,34629.0,55814.0
chr11,215201,411809,train,IFITM1,313505,7835.0,5875.0
chr4,22417750,22614358,train,ADGRA3,22516054,1383264.0,567255.0
chr19,42227304,42423912,test,MEGF8,42325608,64679.0,12273.0
chr1,85482456,85679064,train,CYR61,85580760,127673.0,2397.0
chrX,11659854,11856462,valid,MSL3,11758158,380307.0,92457.0
chr1,170992572,171189180,train,FMO3,171090876,94331.0,155406.0
chr2,99391731,99588339,train,REV1,99490035,652704.0,149333.0
chr11,76683946,76880554,train,TSKU,76782250,78616.0,111503.0
chr11,124166522,124363130,train,OR8G5,124264826,46011.0,15151.0
chr9,122730327,122926935,train,PDCL,122828631,76710.0,28509.0
chr19,902114,1098722,train,GRIN3B,1000418,20761.0,16148.0
chr11,86939539,87136147,train,TMEM135,87037843,1137624.0,82452.0
chr15,52014471,52211079,train,BCL2L10,52112775,78594.0,140969.0
chr11,2203756,2400364,train,TSPAN32,2302060,989.0,31108.0
chr4,153246344,153442952,train,MND1,153344648,121697.0,192307.0
chr11,56645507,56842115,train,OR9G4,56743811,245060.0,43424.0
chr3,100162695,100359303,train,TBC1D23,100260999,73701.0,146486.0
chr3,191232232,191428840,test,UTS2B,191330536,130626.0,1460.0
chr14,22784860,22981468,test,REM2,22883164,34638.0,11552.0
chr2,182980254,183176862,train,DUSP19,183078558,38954.0,39700.0
chr6,43589487,43786095,train,MRPS18A,43687791,82421.0,42746.0
chr6,26059841,26256449,train,HIST1H2BD,26158145,15617.0,1792.0
chr11,62572979,62769587,train,LBHD1,62671283,491.0,5975.0
chr1,8719339,8915947,train,RERE,8817643,61606.0,499818.0
chr16,997940,1194548,train,C1QTNF8,1096244,56876.0,17464.0
chr11,62591595,62788203,train,LRRN4CL,62689899,17758.0,10782.0
chr7,121298060,121494668,train,FAM3C,121396364,476724.0,70998.0
chr12,120436046,120632654,train,COQ5,120534350,47048.0,871.0
chr7,99374536,99571144,train,ZNF789,99472840,27484.0,6509.0
chr6,41448121,41644729,train,FOXP4,41546425,90456.0,210771.0
chr17,82359875,82556483,train,NARF,82458179,61533.0,7350.0
chr8,28218681,28415289,train,PNOC,28316985,85716.0,227313.0
chr15,40252728,40449336,train,PHGR1,40351032,7202.0,10065.0
chr11,10195903,10392511,train,SBF2,10294207,10472.0,630131.0
chr21,26474980,26671588,train,CYYR1,26573284,272125.0,402156.0
chr21,45189594,45386202,train,POFUT2,45287898,117238.0,213330.0
chr22,26498413,26695021,train,TPST2,26596717,21371.0,84212.0
chr16,30025202,30221810,train,MAPK3,30123506,59320.0,9650.0
chr3,157062456,157259064,train,CCNL1,157160760,276028.0,335280.0
chr2,240038503,240235111,valid,COPS9,240136807,7755.0,90735.0
chr1,229188180,229384788,train,RAB4A,229286484,56810.0,36849.0
chr12,4463899,4660507,train,DYRK4,4562203,86844.0,23406.0
chr17,14202778,14399386,train,HS3ST3B1,14301082,964244.0,64220.0
chr12,50744615,50941223,train,TMPRSS12,50842919,80552.0,79210.0
chr5,115534688,115731296,train,TMED7,115632992,183962.0,30513.0
chr12,116812651,117009259,train,FBXW8,116910955,188524.0,29514.0
chr1,155983694,156180302,train,MEX3A,156081998,574.0,20839.0
chr17,64958535,65155143,train,GNA13,65056839,43972.0,137359.0
chr20,25292679,25489287,train,ABHD12,25390983,16743.0,142915.0
chr4,39879652,40076260,train,PDS5A,39977956,78869.0,279913.0
chr3,169723617,169920225,train,LRRIQ4,169821921,48009.0,8935.0
chr5,132575681,132772289,train,IL4,132673985,63653.0,17723.0
chr6,143966295,144162903,train,PLAGL1,144064599,30974.0,200164.0
chr5,138477140,138673748,train,HSPA9,138575444,35522.0,32144.0
chr1,248657435,248854043,test,LYPD8,248755739,70894.0,73435.0
chr11,5497804,5694412,train,TRIM6,5596108,23655.0,15232.0
chr14,103987374,104183982,test,ASPG,104085678,53044.0,143370.0
chr20,63401011,63597619,valid,EEF1A2,63499315,21408.0,26638.0
chr8,119757706,119954314,train,DSCC1,119856010,72389.0,23147.0
chr7,92066972,92263580,train,LRRD1,92165276,80890.0,22324.0
chr1,53955282,54151890,train,TCEANC2,54053586,100184.0,82.0
chr6,24837748,25034356,train,FAM65B,24936052,343025.0,137163.0
chr3,48891684,49088292,train,P4HTM,48989988,17166.0,68509.0
chr1,161061145,161257753,train,USP21,161159449,6960.0,6674.0
chr6,4607854,4804462,train,CDYL,4706158,297905.0,570561.0
chr10,68989801,69186409,train,SRGN,69088105,35406.0,99385.0
chr19,40315062,40511670,test,PRX,40413366,12659.0,23179.0
chr4,56289204,56485812,train,AASDH,56387508,48107.0,338436.0
chr10,87561308,87757916,train,PAPSS2,87659612,181731.0,154738.0
chr7,94808897,95005505,train,PPP1R9A,94907201,307131.0,250877.0
chr5,157477471,157674079,train,ADAM19,157575775,95705.0,115697.0
chr4,1585998,1782606,train,FAM53A,1684302,28253.0,277971.0
chr17,74774727,74971335,train,FDXR,74873031,20750.0,11527.0
chr19,48222507,48419115,train,CCDC114,48320811,697.0,50710.0
chr2,171423942,171620550,train,CYBRD1,171522246,165162.0,88030.0
chr1,167837736,168034344,train,DCAF6,167936040,1000.0,21825.0
chr1,247660102,247856710,valid,OR1C1,247758406,57323.0,19792.0
chr9,128224231,128420839,train,TRUB2,128322535,207.0,46540.0
chr7,151243394,151440002,train,NUB1,151341698,69029.0,63802.0
chr20,13686582,13883190,train,ESF1/NDUFAF5,13784886/13784949,63.0,145946.0
chr22,17465134,17661742,train,SLC25A18,17563438,65380.0,203490.0
chr3,124855515,125052123,train,MUC13,124953819,102139.0,52401.0
chr2,85806895,86003503,train,ST3GAL5,85905199,200956.0,153856.0
chr19,1787243,1983851,train,ABHD17A,1885547,19666.0,21979.0
chr7,135564191,135760799,train,C7orf73,135662495,66763.0,104577.0
chr6,26098946,26295554,train,HIST1H3D,26197250,1993.0,8174.0
chrX,64936409,65133017,valid,ZC4H2,65034713,454021.0,639282.0
chr12,123663883,123860491,train,DNAH10,123762187,172797.0,49870.0
chr11,55506094,55702702,valid,OR4C11,55604398,33959.0,50092.0
chrX,136549888,136746496,test,CD40LG,136648192,133896.0,116041.0
chr3,150807135,151003743,train,MINDY4B,150905439,67238.0,141962.0
chr1,145866398,146063006,train,POLR3GL,145964702,31898.0,120.0
chr9,136229171,136425779,train,GPSM1,136327475,36314.0,20574.0
chr19,48950802,49147410,train,CGB8,49049106,9754.0,5223.0
chr17,29292159,29488767,train,TAOK1,29390463,175588.0,96345.0
chr12,57511875,57708483,train,ARHGEF25,57610179,9347.0,5558.0
chr18,49715656,49912264,train,ACAA2,49813960,381133.0,253262.0
chr6,148649023,148845631,train,UST,148747327,570206.0,404735.0
chr11,117217955,117414563,train,BACE1,117316259,501266.0,1703.0
chr19,44847677,45044285,test,APOC2,44945981,8609.0,3744.0
chr19,1806909,2003517,train,SCAMP4,1905213,2805.0,19666.0
chrX,84905521,85102129,valid,APOOL,85003825,105223.0,501346.0
chr12,54536591,54733199,train,LACRT,54634895,13598.0,46236.0
chr9,21207008,21403616,train,IFNA5,21305312,30068.0,65321.0
chr21,42268290,42464898,train,TFF1,42366594,30252.0,15466.0
chr15,48080213,48276821,train,MYEF2,48178517,13021.0,57546.0
chrX,152895823,153092431,valid,PNMA5,152994127,62281.0,79686.0
chr1,1413846,1610454,train,ATAD3A,1512150,28303.0,40382.0
chr3,47990968,48187576,train,MAP4,48089272,99130.0,286345.0
chr20,18398939,18595547,train,RBBP9,18497243,10249.0,29962.0
chr9,92960383,93156991,train,SUSD3,93058687,37530.0,111237.0
chr7,82345494,82542102,train,CACNA2D1,82443798,719132.0,673360.0
chrX,141486707,141683315,test,SPANXA1,141585011,4423.0,342515.0
chr1,23270082,23466690,train,ZNF436,23368386,56354.0,24050.0
chr13,44891179,45087787,train,NUFIP1/GPALPP1,44989483/44989528,45.0,412918.0
chrX,43784143,43980751,test,MAOB,43882447,91057.0,227541.0
chr22,32960068,33156676,train,SYN3,33058372,864469.0,256672.0
chr14,103830157,104026765,test,TDRD9,103928461,13847.0,192.0
chr12,1721962,1918570,train,LRTM2,1820266,98570.0,131693.0
chrX,137467837,137664445,test,ZIC3,137566141,1656636.0,534467.0
chr6,42817684,43014292,train,PTCRA,42915988,13203.0,25172.0
chr22,50449728,50646336,train,KLHDC7B,50548032,14873.0,15452.0
chr9,100930404,101127012,train,PLPPR1,101028708,354811.0,450630.0
chr14,20019102,20215710,test,OR4K17,20117406,26329.0,57362.0
chr12,52582103,52778711,train,KRT1,52680407,23056.0,28243.0
chr11,57362244,57558852,train,RTN4RL2,57460548,55238.0,32968.0
chr17,6458190,6654798,train,PITPNM3,6556494,83822.0,112080.0
chr19,541590,738198,train,FGF22,639894,23383.0,6290.0
chr1,156718558,156915166,train,SH2D2A,156816862,42156.0,1223.0
chr1,200925396,201122004,train,KIF21B,201023700,88866.0,132653.0
chr8,66772444,66969052,train,MCMDC2,66870748,91842.0,158331.0
chr19,39416808,39613416,test,SELENOV,39515112,17742.0,16218.0
chr11,64127636,64324244,train,NUDT22,64225940,4746.0,70.0
chr17,1181358,1377966,train,TUSC5,1279662,120716.0,9104.0
chr3,53032158,53228766,train,RFT1,53130462,25546.0,84394.0
chr19,45147127,45343735,test,EXOC3L2,45245431,5826.0,66687.0
chr4,6969893,7166501,train,GRPEL1,7068197,124340.0,24807.0
chr6,116730733,116927341,train,GPRC6A,116829037,48222.0,63314.0
chr1,86816120,87012728,train,SELENOF,86914424,223.0,209855.0
chr3,50242632,50439240,train,RASSF1,50340936,5916.0,12685.0
chr11,59266107,59462715,train,OR5AN1,59364411,58565.0,151460.0
chr22,35539647,35736255,train,MB,35637951,10443.0,97084.0
chrX,153501741,153698349,valid,FAM58A,153600045,42446.0,82370.0
chr11,462475,659083,train,LMNTD2,560779,15706.0,376.0
chr3,183933239,184129847,test,HTR3D,184031543,21503.0,13528.0
chr1,152687909,152884517,train,LCE1E,152786213,10537.0,9842.0
chr1,172345782,172542390,train,PIGC,172444086,88262.0,23399.0
chr9,130615641,130812249,train,ABL1,130713945,182867.0,20225.0
chr10,35028486,35225094,train,CREM,35126790,120234.0,36148.0
chr7,141691912,141888520,train,TAS2R5,141790216,51271.0,11775.0
chr1,12693092,12889700,train,PRAMEF1,12791396,40014.0,16556.0
chr4,56337436,56534044,train,PAICS,56435740,31174.0,125.0
chr13,30209180,30405788,train,KATNAL1,30307484,115003.0,456800.0
chr17,7741599,7938207,train,KDM6B,7839903,15161.0,122550.0
chr6,152885275,153081883,valid,FBXO5,152983579,19106.0,232782.0
chr10,97614868,97811476,train,MARVELD1,97713172,23948.0,25849.0
chr4,75626288,75822896,train,USO1,75724592,177979.0,67.0
chr19,19723447,19920055,train,ZNF506,19821751,217755.0,88654.0
chrX,133120044,133316652,test,TFDP3,133218348,197142.0,121239.0
chr1,78521617,78718225,train,IFI44L,78619921,29874.0,316038.0
chr16,28653482,28850090,train,NPIPB9,28751786,72351.0,63229.0
chr2,131006542,131203150,train,PLEKHB2,131104846,113220.0,11386.0
chr16,88608117,88804725,train,RNF166/CTU2,88706421/88706462,41.0,24707.0
chr15,40010588,40207196,train,BMF,40108892,52130.0,69704.0
chr1,93081614,93278222,train,CCDC18,93179918,166107.0,16708.0
chr9,129955121,130151729,train,GPR107,130053425,119152.0,10231.0
chr5,35519539,35716147,train,SPEF2,35617843,234851.0,387254.0
chr22,50151555,50348163,train,HDAC10,50249859,11966.0,4888.0
chr6,99422388,99618996,train,TSTD3,99520692,1036.0,104264.0
chr1,27243715,27440323,train,SYTL1,27342019,24873.0,19875.0
chr13,46006772,46203380,train,CPB2,46105076,106795.0,52317.0
chr19,12589693,12786301,train,CTD-2659N19.11,12687997,8646.0,6095.0
chr19,58020123,58216731,train,ZSCAN18,58118427,36683.0,59189.0
chrX,85145727,85342335,valid,ZNF711,85244031,135712.0,134983.0
chr16,16224000,16420608,train,AC138969.4,16322304,1148577.0,89810.0
chr17,39304219,39500827,train,FBXL20,39402523,48763.0,176651.0
chr12,113323932,113520540,train,SDSL,113422236,4065.0,62743.0
chr18,34394985,34591593,train,DTNA,34493289,483638.0,268337.0
chr5,160021119,160217727,train,PWWP2A,160119423,67943.0,110311.0
chr6,82969361,83165969,train,DOPEY1,83067665,125713.0,1824.0
chr1,119316626,119513234,train,HSD3B2,119414930,92267.0,46152.0
chr1,159728445,159925053,train,SLAMF8,159826749,28598.0,26238.0
chr22,43764199,43960807,train,SULT4A1,43862503,29510.0,50198.0
chr19,2769030,2965638,train,ZNF556,2867334,33563.0,25900.0
chr1,883789,1080397,train,PERM1,982093,18079.0,15597.0
chr14,20891465,21088073,test,METTL17,20989769,9485.0,34318.0
chr10,79884310,80080918,train,SFTPD,79982614,96031.0,141257.0
chr22,50376720,50573328,train,SBF1,50475024,6531.0,131721.0
chr11,62143905,62340513,train,SCGB1D2,62242209,27945.0,33542.0
chr7,2581217,2777825,valid,AMZ1,2679521,164803.0,47571.0
chrX,10058640,10255248,valid,CLCN4,10156944,676710.0,141383.0
chrX,103258147,103454755,valid,TCEAL9,103356451,19888.0,26256.0
chr11,29918719,30115327,test,KCNA4,30017023,213992.0,1908715.0
chr3,52607331,52803939,train,GLT8D1,52705635,65314.0,681.0
chr16,1332730,1529338,train,LA16c-312E8.5,1431034,13522.0,10234.0
chr19,54365407,54562015,test,LENG9,54463711,9553.0,14666.0
chr3,158545973,158742581,train,GFM1,158644277,28416.0,73115.0
chr19,54495277,54691885,test,LILRA1,54593581,23576.0,20662.0
chr17,81605052,81801660,train,MRPL12,81703356,8879.0,19432.0
chr14,92824775,93021383,test,CHGA,92923079,193241.0,128849.0
